代號,名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
1260,富味鄉,股票,股票,股票,股票,股票
1269,乾杯,TW0001260008,2012/11/26,興櫃一般板,食品工業,ESVUFR
1271,晨暉生技,TW0001269009,2016/8/29,興櫃一般板,觀光事業,ESVUFR
1343,旭東環保,TW0001271005,2021/1/18,興櫃一般板,生技醫療業,ESVUFR
1563,巧新,TW0001343002,2021/3/25,興櫃一般板,塑膠工業,ESVUFR
1585,鎧鉅,TW0001563005,2006/10/26,興櫃一般板,電機機械,ESVUFR
1594,日高,TW0001585008,2007/5/2,興櫃一般板,電子零組件業,ESVUFR
1780,立弘,TW0001594000,2010/10/13,興櫃一般板,電機機械,ESVUFR
2071,震南鐵,TW0001780005,2010/4/29,興櫃一般板,生技醫療業,ESVUFR
2072,世紀風電,TW0002071008,2019/9/23,興櫃一般板,鋼鐵工業,ESVUFR
2237,華德動能,TW0002072006,2020/11/30,興櫃一般板,鋼鐵工業,ESVUFR
2245,詠勝昌,TW0002237005,2014/12/23,興櫃一般板,電機機械,ESVUFR
2246,凱勝綠能,TW0002245008,2016/12/15,興櫃一般板,電機機械,ESVUFR
2248,華勝-KY,TW0002246006,2017/8/11,興櫃一般板,電機機械,ESVUFR
2249,湧盛,KYG8T24R1076,2018/9/11,興櫃一般板,電機機械,ESVUFR
2599,樂揚,TW0002249000,2019/12/19,興櫃一般板,電機機械,ESVUFR
2730,美麗信,TW0002599008,2008/6/24,興櫃一般板,建材營造業,ESVUFR
2733,維格,TW0002730009,2011/10/28,興櫃一般板,觀光事業,ESVUFR
2741,老四川,TW0002733003,2012/12/24,興櫃一般板,觀光事業,ESVUFR
2750,桃禧,TW0002741006,2014/10/28,興櫃一般板,觀光事業,ESVUFR
2753,八方雲集,TW0002750007,2018/8/8,興櫃一般板,觀光事業,ESVUFR
2756,聯發國際,TW0002753001,2020/9/29,興櫃一般板,觀光事業,ESVUFR
2938,床的世界,TW0002756004,2021/1/7,興櫃一般板,觀光事業,ESVUFR
2942,京站,TW0002938008,2016/10/5,興櫃一般板,貿易百貨業,ESVUFR
2945,三商家購,TW0002942000,2018/3/31,興櫃一般板,貿易百貨業,ESVUFR
2947,振宇五金,TW0002945003,2018/12/17,興櫃一般板,貿易百貨業,ESVUFR
2948,寶陞,TW0002947009,2020/9/22,興櫃一般板,貿易百貨業,ESVUFR
3097,拍檔,TW0002948007,2020/12/10,興櫃一般板,貿易百貨業,ESVUFR
3117,年程,TW0003097002,2002/8/2,興櫃一般板,電腦及週邊設備業,ESVUFR
3150,鈺寶,TW0003117008,2012/8/31,興櫃一般板,電子零組件業,ESVUFR
3158,嘉實,TW0003150009,2010/10/6,興櫃一般板,半導體業,ESVUFR
3168,眾福科,TW0003158002,2018/3/16,興櫃一般板,資訊服務業,ESVUFR
3184,微邦,TW0003168001,2004/4/15,興櫃一般板,光電業,ESVUFR
3349,寶德,TW0003184008,2013/4/18,興櫃一般板,生技醫療業,ESVUFR
3391,佳得,TW0003349007,2004/9/16,興櫃一般板,電腦及週邊設備業,ESVUFR
3429,彥陽,TW0003391009,2015/12/29,興櫃一般板,通信網路業,ESVUFR
3430,奇鈦科,TW0003429007,2007/10/15,興櫃一般板,電子通路業,ESVUFR
3485,敘豐,TW0003430005,2010/9/16,興櫃一般板,化學工業,ESVUFR
3585,聯致,TW0003485009,2012/9/28,興櫃一般板,光電業,ESVUFR
3592,瑞鼎,TW0003585006,2007/10/25,興櫃一般板,電子零組件業,ESVUFR
3595,山太士,TW0003592002,2007/10/29,興櫃一般板,半導體業,ESVUFR
3603,建祥國際,TW0003595005,2007/11/16,興櫃一般板,光電業,ESVUFR
3627,華信科,TW0003603007,2008/1/9,興櫃一般板,電子通路業,ESVUFR
3633,云光,TW0003627006,2013/3/26,興櫃一般板,光電業,ESVUFR
3659,百辰,TW0003633004,2008/8/6,興櫃一般板,光電業,ESVUFR
3678,聯享,TW0003659009,2009/10/19,興櫃一般板,光電業,ESVUFR
